Freq,S11_o_mod_v,S11_o_pha_v,S11_s_mod_v,S11_s_pha_v,S11_m_mod_v,S11_m_pha_v,S22_o_mod_v,S22_o_pha_v,S22_s_mod_v,S22_s_pha_v,S22_m_mod_v,S22_m_pha_v,S11_thru_mod_v,S11_thru_pha_v,S21_thru_mod_v,S21_thru_pha_v,S12_thru_mod_v,S12_thru_pha_v,S22_thru_mod_v,S22_thru_pha_v
669939799.331104,0.684457478005865,0.870967741935484,0.652785923753666,0.754838709677419,1.74897360703812,0.496187683284457,0.668621700879765,1.8,0.753079178885631,0.170674486803519,1.56950146627566,0.781231671554252,1.20703812316716,0.156598240469208,0.700293255131965,0.0897360703812317,0.679178885630499,0.568328445747801,1.17888563049853,0.06158357771261
677628762.541806,0.675659824046921,0.904398826979472,0.663343108504399,0.728445747800586,1.74017595307918,0.515542521994135,0.656304985337243,1.60821114369501,0.758357771260997,0.357184750733138,1.49912023460411,0.948387096774194,1.15425219941349,0.320234604105572,0.703812316715543,0.0387096774193548,0.684457478005865,0.47683284457478,1.16480938416422,0.329032258064516
685317725.752508,0.666862170087977,0.941348973607038,0.672140762463343,0.70733137829912,1.72961876832845,0.541935483870968,0.659824046920821,1.3266862170088,0.754838709677419,0.536656891495601,1.44809384164223,1.09618768328446,1.11730205278592,0.475073313782991,0.703812316715543,0.098533724340176,0.687976539589443,0.387096774193548,1.14369501466276,0.603519061583578
693006688.963211,0.659824046920821,0.981818181818182,0.679178885630499,0.687976539589443,1.71202346041056,0.559530791788856,0.673900293255132,1.05571847507331,0.746041055718475,0.721407624633431,1.41114369501466,1.23695014662757,1.0891495601173,0.628152492668622,0.702052785923754,0.248093841642229,0.689736070381232,0.299120234604106,1.12434017595308,0.867448680351906
700695652.173913,0.652785923753666,1.02756598240469,0.684457478005865,0.670381231671554,1.7208211143695,0.582404692082111,0.695014662756598,0.804105571847507,0.731964809384164,0.914956011730205,1.38475073313783,1.36539589442815,1.07155425219941,0.777712609970674,0.700293255131965,0.401173020527859,0.687976539589443,0.207624633431085,1.1049853372434,1.11906158357771
708384615.384615,0.647507331378299,1.07859237536657,0.687976539589443,0.656304985337243,1.62052785923754,0.643988269794721,0.716129032258064,0.575366568914956,0.714369501466276,1.11906158357771,1.36187683284457,1.48856304985337,1.06275659824047,0.930791788856305,0.700293255131965,0.556011730205279,0.687976539589443,0.110850439882698,1.09266862170088,1.36363636363636
716073578.595318,0.647507331378299,1.12961876832845,0.689736070381232,0.643988269794721,1.67683284457478,0.709090909090909,0.733724340175953,0.362463343108504,0.696774193548387,1.33900293255132,1.34428152492669,1.62052785923754,1.06275659824047,1.08387096774194,0.700293255131965,0.712609970674487,0.687976539589443,0.0439882697947214,1.08563049853372,1.60469208211144
723762541.80602,0.647507331378299,1.18240469208211,0.689736070381232,0.628152492668622,1.66275659824047,0.76891495601173,0.744281524926686,0.15307917888563,0.682697947214076,1.57302052785924,1.33724340175953,1.74721407624633,1.06275659824047,1.08387096774194,0.700293255131965,0.712609970674487,0.686217008797654,0.0439882697947214,1.0891495601173,1.8
731451505.016722,0.651026392961877,1.22991202346041,0.687976539589443,0.610557184750733,1.65043988269795,0.83049853372434,0.747800586510264,0.0299120234604106,0.675659824046921,1.8,1.33372434017595,1.8,1.09442815249267,1.39530791788856,0.703812316715543,1.02052785923754,0.687976539589443,0.12316715542522,1.09970674486804,1.71554252199413
739140468.227425,0.656304985337243,1.27390029325513,0.686217008797654,0.592961876832845,1.63812316715543,0.890322580645161,0.746041055718475,0.149560117302053,0.675659824046921,1.71554252199413,1.33548387096774,1.77360703812317,1.12961876832845,1.54310850439883,0.70733137829912,1.17184750733138,0.689736070381232,0.223460410557185,1.12258064516129,1.48152492668622
